index,Exp,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,DLIndex_Mean,Fairness
52,0.65,191-948,7,191,Absent,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,5,0,0,4,8,0,0,3,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,6,12,0,0,11,0,0,10,26,6,Unicorn_Absent,-1,-1,2,0.9625,13,1.0,32,0.0,0.40625,0.40625,0.8125
53,0.65,191-948,7,948,Absent,25,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,17,0,0,22,16,0,0,0,18,0,20,0,0,2,0,11,0,0,0,8,6,0,0,0,0,24,12,0,0,0,0,7,0,0,5,0,3,0,9,0,25,14,19,21,0,0,1,10,0,15,0,23,0,0,0,13,0,4,0,26,6,Unicorn_Absent,-1,-1,2,0.9625,25,1.0,32,0.0,0.40625,0.40625,0.8125
54,0.65,191-948,8,191,Absent,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,7,0,0,4,9,0,0,1,0,0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,5,3,0,0,8,0,0,10,26,6,Unicorn_Absent,-1,-1,28,0.9625,13,1.0,32,0.0,0.40625,0.40625,0.8125
55,0.65,191-948,8,948,Absent,25,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,12,0,0,9,19,0,0,0,17,0,11,0,0,15,0,2,0,0,0,7,24,0,0,0,0,16,4,0,0,0,0,8,0,0,23,0,20,0,14,0,25,1,18,22,0,0,13,10,0,21,0,6,0,0,0,3,0,5,0,26,6,Unicorn_Absent,-1,-1,28,0.9625,25,1.0,32,0.0,0.40625,0.40625,0.8125
56,0.65,191-948,9,191,Absent,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,6,0,0,7,10,0,0,9,0,0,0,12,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,11,5,0,0,2,0,0,8,26,6,Unicorn_Absent,-1,-1,54,0.9625,13,1.0,32,0.0,0.40625,0.40625,0.8125
57,0.65,191-948,9,948,Absent,25,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,15,0,0,3,2,0,0,0,14,0,9,0,0,11,0,13,0,0,0,18,6,0,0,0,0,12,16,0,0,0,0,22,0,0,19,0,10,0,8,0,17,23,20,24,0,0,4,1,0,21,0,5,0,0,0,25,0,7,0,26,6,Unicorn_Absent,-1,-1,54,0.9625,25,1.0,32,0.0,0.40625,0.40625,0.8125
58,0.65,191-948,10,191,Absent,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,5,0,0,1,11,0,0,2,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,9,4,0,0,12,0,0,3,26,6,Unicorn_Absent,-1,-1,80,0.9625,13,1.0,32,0.0,0.40625,0.40625,0.8125
59,0.65,191-948,10,948,Absent,25,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,23,0,0,1,14,0,0,0,20,0,6,0,0,13,0,17,0,0,0,19,5,0,0,0,0,22,8,0,0,0,0,16,0,0,18,0,7,0,24,0,11,10,2,3,0,0,25,15,0,12,0,9,0,0,0,21,0,4,0,26,6,Unicorn_Absent,-1,-1,80,0.9625,25,1.0,32,0.0,0.40625,0.40625,0.8125
60,0.65,191-948,11,191,Absent,13,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,11,0,0,5,2,0,0,3,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,10,13,0,0,9,0,0,6,26,6,Unicorn_Absent,-1,-1,106,0.9625,13,1.0,32,0.0,0.40625,0.40625,0.8125
61,0.65,191-948,11,948,Absent,25,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,13,2,0,0,0,11,0,15,0,0,22,0,8,0,0,0,9,18,0,0,0,0,23,6,0,0,0,0,21,0,0,12,0,24,0,3,0,19,25,1,17,0,0,7,14,0,10,0,20,0,0,0,16,0,4,0,26,6,Unicorn_Absent,-1,-1,106,0.9625,25,1.0,32,0.0,0.40625,0.40625,0.8125
